Delta.Compl1.49_S49	Delta.Compl1.67_S67	Delta.Compl3.51_S51	Delta.Compl3.69_S69	Delta.Compl4.52_S52	Delta.Compl4.70_S70	Delta.Compl5.53_S53	Delta.Compl5.71_S71	Delta1.43_S43	Delta1.61_S61	Delta2.44_S44	Delta2.62_S62	Delta3.45_S45	Delta3.63_S63	Delta5.47_S47	Delta5.65_S65	WT2.38_S38	WT2.56_S56	WT3.39_S39	WT3.57_S57	WT4.40_S40	WT4.58_S58	WT5.41_S41	WT5.59_S59	Delta.m11	DeltaCompl.m13	DeltaCompl.m15	DeltaCompl.m16	DeltaCompl.m17	WT.m2	WT.m3	WT.m4	WT.m5	Delta.m7	Delta.m8	Delta.m9
OTU_52185	10	7	4	4	0	0	0	0	3	0	0	0	0	2	0	0	5	0	2	3	1	0	2	5	100	1	0	11	0	11	22	0	18	0	0	0
OTU_52198	0	0	0	0	0	0	0	0	1	8	0	2	0	0	0	0	0	0	0	0	0	14	0	0	1	2	0	0	0	0	0	0	0	0	0	0
OTU_52200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	3	0	0	1	3	0	0	0	3
OTU_52201	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	2	2	0	1	0	0	0
OTU_52202	0	0	1	8	8	0	3	1	0	4	16	3	4	3	1	1	1	1	17	0	7	2	4	0	11	6	6	10	0	4	1	11	5	2	4	10
OTU_52206	1	1	0	1	2	0	0	0	0	0	0	2	0	0	0	0	2	0	2	0	1	1	0	0	0	15	0	0	0	0	1	1	1	0	1	0
OTU_52208	5	1	4	7	0	0	0	0	0	0	0	0	0	1	0	0	2	1	0	15	0	0	0	6	26	0	0	4	0	8	1	0	6	0	0	0
OTU_52212	0	0	2	2	2	0	2	1	1	1	8	3	1	1	0	0	0	0	8	0	4	12	1	0	6	0	1	5	5	2	0	2	0	1	0	0
OTU_52217	0	0	0	1	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	3	3	1	0	0	2	1	0	0	0
OTU_52218	1	0	0	0	0	0	4	0	2	0	1	0	0	0	0	0	0	0	0	0	0	3	1	0	3	0	0	0	0	0	3	0	2	2	1	0
OTU_52219	0	0	0	0	0	0	0	1	0	2	1	6	0	2	0	1	0	0	1	0	0	0	1	0	36	15	5	15	2	5	3	4	7	1	1	7
OTU_52226	0	5	1	1	0	0	1	10	0	6	1	2	0	2	0	0	0	3	0	0	1	2	1	3	3	2	4	0	1	5	1	3	0	0	8	1
OTU_52233	0	0	0	6	4	0	0	3	0	0	8	3	0	3	0	1	0	0	3	0	2	0	0	0	3	1	4	5	0	4	4	2	2	3	1	3
OTU_52238	4	0	15	1	3	0	0	0	10	2	0	0	0	1	0	0	34	0	11	0	0	0	14	1	0	1	0	5	0	0	5	0	0	0	0	0
OTU_52243	1	1	0	0	0	0	2	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	5	3	0	0	0	0	0
OTU_52245	1	0	2	0	6	1	0	3	1	17	1	5	2	2	2	0	2	1	2	3	2	15	2	0	37	2	1	6	4	5	1	0	10	0	8	0
OTU_52248	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	1	2	0	2	0	0	0	1	0	0	0
OTU_52249	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	4	5	1	25	0	2	7	0	0	0	0
OTU_52250	1	1	1	0	0	0	2	1	0	0	0	0	0	0	0	1	3	1	2	0	0	0	4	0	1	0	1	1	0	0	0	0	0	0	0	0
OTU_52251	7	0	6	2	8	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	11	0	0	0
OTU_52254	0	0	1	1	3	0	0	0	2	0	3	1	3	5	0	0	0	0	6	0	2	0	1	0	7	3	0	3	3	6	9	3	0	3	0	10
OTU_52256	2	0	1	2	0	0	2	0	1	0	0	0	0	0	0	9	1	0	1	0	0	0	5	0	2	8	12	1	2	2	2	1	2	1	1	1
OTU_52259	0	0	4	0	5	0	1	0	6	1	1	1	0	0	1	0	0	0	6	0	11	3	0	0	0	0	3	0	1	2	0	1	0	0	0	0
OTU_52260	0	0	0	0	0	0	0	0	0	5	1	2	0	0	0	0	0	0	0	0	0	5	0	0	0	1	0	2	0	2	4	0	1	0	0	0
OTU_52262	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	2	2	3	13	1	0	0	4	3	0	0	0
OTU_52263	1	4	2	10	1	1	0	0	0	0	0	3	1	9	0	0	0	4	5	17	0	0	3	6	10	0	1	8	2	15	9	0	9	1	2	2
OTU_52264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	7	0	0	0	1	4	1	0	0	1
OTU_52265	5	5	2	7	0	0	0	0	3	1	0	5	0	1	0	1	6	1	2	4	1	1	0	1	21	0	0	4	0	41	16	0	7	1	1	0
OTU_52272	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	23	0	0	3	0	1	0	0	2	0	1	2
OTU_52273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_52274	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	11	0	0	0	1	0	0	0	1	0	1	2	0	2	0	4	0
OTU_52278	0	0	0	0	0	0	0	0	1	7	1	0	0	0	0	0	0	0	0	0	0	61	0	0	0	4	0	7	1	0	0	1	6	0	0	6
OTU_52279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	1	0	4	0	0	0	0	0	0
OTU_52281	27	19	14	40	8	6	47	60	30	66	0	246	3	18	5	20	165	91	26	5	35	68	0	0	70	7	12	15	3	375	363	9	50	42	71	181
OTU_52347	0	0	1	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
OTU_52348	0	0	0	0	0	0	0	0	0	0	0	10	0	1	0	0	0	0	0	0	3	87	0	0	0	0	0	0	0	3	0	0	0	0	3	3
OTU_52351	12	6	7	1	1	0	2	0	0	1	0	2	0	1	2	5	0	1	2	1	0	0	1	1	4	8	6	2	4	2	0	1	6	2	0	2
OTU_52352	63	19	4	2	5	1	15	5	1	0	0	0	0	0	0	0	8	2	0	0	0	0	1	5	40	2	0	13	42	3	15	0	26	0	0	0
OTU_52360	0	0	2	1	0	0	0	0	0	3	2	0	1	2	1	1	2	0	2	0	0	1	0	0	7	0	2	0	2	1	0	1	0	0	2	0
OTU_52362	7	3	0	1	0	0	2	3	0	2	0	3	0	1	0	1	1	0	1	0	0	1	0	1	14	3	2	1	7	4	6	2	4	0	0	0
OTU_52371	25	19	1	3	2	1	7	8	0	0	0	0	0	0	0	0	7	1	0	0	0	0	6	4	22	4	1	4	14	5	7	0	7	0	0	0
OTU_52376	0	0	1	0	0	0	0	0	0	0	3	9	0	0	0	0	0	0	2	0	2	2	2	0	23	20	8	44	28	1	4	33	44	3	0	6
OTU_52385	0	2	0	9	3	2	0	2	0	0	1	1	4	9	0	5	0	0	3	0	0	0	1	4	1	0	2	1	0	3	2	0	0	0	2	2
OTU_52392	3	36	1	22	2	12	4	3	0	0	0	5	0	7	0	0	13	44	1	20	0	4	4	9	5	2	0	1	8	6	0	0	0	0	12	0
OTU_52398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_52399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_52400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	1
OTU_52401	3	1	3	2	0	1	0	0	1	0	0	0	0	0	0	0	3	8	0	1	0	0	1	3	6	1	0	4	0	1	0	0	1	0	0	0
OTU_52404	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	1
OTU_52405	5	1	0	0	0	0	0	2	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	9	3	13	0	2	0	0	2
OTU_52409	0	0	0	3	2	0	0	11	0	10	0	1	1	0	0	0	2	0	1	0	0	1	0	2	3	0	4	6	0	5	1	1	2	0	3	0
OTU_52416	0	3	0	13	2	1	1	7	0	1	0	3	0	3	0	0	0	3	1	0	0	1	0	3	4	0	0	1	0	1	0	1	0	1	1	1
OTU_52418	0	0	2	0	0	0	0	0	1	0	1	2	0	0	0	0	0	0	0	0	0	1	3	0	17	12	9	26	7	1	3	15	28	3	2	5
OTU_52424	19	15	17	35	1	0	3	1	5	1	0	2	0	4	1	0	13	3	3	84	4	9	0	10	73	2	0	8	3	42	17	0	45	2	9	0
OTU_52439	1	0	0	1	0	0	0	0	1	0	0	0	0	3	0	0	3	6	0	8	0	0	0	2	2	0	0	1	0	2	1	0	1	0	0	0
OTU_52441	0	0	0	2	4	0	0	0	0	1	6	1	1	0	0	0	0	0	3	0	5	6	0	0	5	2	0	0	2	0	0	5	4	0	0	0
OTU_52442	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_52443	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	2	0	0	3	0	0	0	0	0	2	0	1	0	0	0	1	0	0
OTU_52444	0	0	0	2	2	0	0	1	0	0	4	1	0	2	0	0	0	0	1	0	2	2	0	3	3	3	1	2	0	1	0	7	0	0	0	2
OTU_52447	0	0	0	0	0	0	1	0	0	0	0	2	0	2	1	0	0	0	2	0	0	0	0	0	18	10	2	4	4	4	2	11	6	4	0	5
OTU_52450	0	0	0	0	0	1	1	0	0	1	2	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	5	0	1	0	0	0	1	1	5	0
OTU_52451	1	5	7	4	1	1	7	7	0	0	9	3	0	1	2	0	1	54	0	36	1	10	0	0	13	1	0	1	11	2	1	29	4	2	68	0
OTU_52452	1	0	0	0	4	0	0	0	1	2	0	1	2	0	0	0	0	0	6	0	2	1	0	0	0	1	0	1	0	3	1	2	0	0	0	3
OTU_52454	1	0	1	0	3	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	11	1	0	4	1	2	0	6	5	2	0	2
OTU_52457	3	5	2	31	34	3	11	23	7	34	3	7	4	39	0	0	13	11	6	3	3	9	6	16	4	4	0	10	4	21	4	3	1	0	22	3
OTU_52467	0	1	0	1	0	0	1	0	0	0	1	1	0	1	1	1	0	0	1	0	1	1	1	0	16	3	3	6	7	7	5	1	4	1	3	0
OTU_52469	1	0	0	4	3	0	1	2	2	3	6	5	3	5	1	7	0	0	9	0	2	2	0	0	7	13	12	2	0	9	7	7	1	8	1	7
OTU_52477	1	0	0	0	2	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	3	0	0	0	0	3	4
OTU_52479	1	1	5	32	9	4	3	11	2	6	14	8	1	17	9	14	0	7	15	8	1	11	5	8	65	16	7	19	19	8	11	13	43	5	22	17
OTU_52483	0	5	1	11	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	20	0	0	0	1	0	0	0	0	0	0	5	0
OTU_52484	13	12	2	2	0	0	10	3	0	2	0	1	0	0	2	2	2	0	1	0	0	0	4	1	4	0	3	2	9	2	13	0	5	1	0	0
OTU_52492	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	1	8	0	0	1	1	1	10	0	0	2	0	0	0	0	1
OTU_52494	1	0	0	0	1	0	1	0	0	0	0	1	0	0	1	0	0	0	2	0	0	0	0	0	3	0	4	2	0	1	1	1	1	0	0	0
OTU_52495	0	0	0	1	0	0	0	0	3	0	0	1	0	0	1	2	0	0	3	0	1	0	1	0	4	1	0	0	0	6	3	0	0	0	1	1
OTU_52497	0	0	1	2	6	0	0	0	0	3	0	6	0	1	0	1	0	0	4	0	0	1	1	0	29	11	5	13	2	1	1	10	6	7	0	2
OTU_52501	0	0	0	5	4	0	1	2	2	0	8	2	0	1	1	3	0	0	6	0	7	2	0	1	9	5	11	3	3	3	4	5	6	3	3	2
OTU_52504	11	13	7	4	0	5	7	3	0	1	3	2	0	7	1	8	3	16	2	12	0	9	0	2	31	1	5	5	11	7	1	0	25	0	38	2
OTU_52511	0	0	0	0	11	0	7	0	0	0	0	3	12	24	0	0	1	0	0	0	5	37	0	0	0	0	0	0	16	0	0	0	0	0	5	17
OTU_52516	1	0	0	0	1	1	0	0	0	1	0	0	0	2	0	0	2	0	0	3	0	0	4	2	1	1	0	1	0	0	7	0	19	0	0	0
OTU_52518	8	11	1	3	0	0	1	1	0	1	0	0	0	1	0	0	0	1	0	0	0	1	1	0	26	1	0	5	2	4	0	0	12	1	0	0
OTU_52519	0	1	0	1	0	1	0	2	0	2	0	1	0	0	0	0	1	0	0	1	0	0	1	0	2	0	0	0	0	3	1	0	1	0	0	0
OTU_52522	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
OTU_52523	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
OTU_52524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
OTU_52525	0	0	0	0	0	0	0	1	1	1	3	1	2	1	0	1	0	0	0	0	0	2	5	2	0	4	4	1	0	0	3	7	3	0	2	1
OTU_52528	0	0	0	6	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	2	0	1	0	2	0	0	2	0	0	0	0	2	0	0	0
OTU_52529	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	2	0	0	0	1	0	1	0	0	0	0	0	1
OTU_52530	0	0	0	0	0	0	6	0	0	0	0	4	0	7	0	0	0	0	0	0	4	75	0	0	0	0	0	0	3	0	0	0	0	0	6	7
OTU_52533	17	19	2	0	0	1	3	6	1	1	0	0	0	2	2	1	7	5	0	0	0	0	3	1	41	6	1	6	18	9	7	1	10	1	2	0
OTU_52541	5	2	1	6	0	0	0	0	0	0	0	0	0	4	0	0	1	1	0	9	1	4	1	2	9	0	0	0	0	10	1	0	3	0	2	2
OTU_52543	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	14	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
OTU_52547	0	0	0	0	3	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	8	4	6	1	0	2	12	0	0	0	2
OTU_52551	1	3	0	0	0	0	1	4	0	0	1	0	0	0	0	1	0	0	0	0	0	0	2	2	2	0	0	2	1	2	0	0	0	0	0	0
OTU_52554	0	0	0	0	0	0	0	0	0	3	0	1	0	1	0	0	0	0	1	0	0	1	0	0	2	3	1	2	0	1	0	0	0	0	0	0
OTU_52555	0	0	0	3	0	0	0	1	0	3	1	2	2	1	2	2	0	0	3	0	2	1	0	0	2	3	7	5	2	2	2	2	2	2	1	2
OTU_52558	0	0	0	0	1	0	0	2	0	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	6	1	1	0	0	0	1	0	0	0	0	0
OTU_52561	27	28	5	3	6	10	16	3	4	1	4	3	1	6	12	1	8	81	2	29	0	26	28	9	22	31	2	3	9	0	1	3	32	4	8	4
OTU_52569	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1	0	0	6	1	0	0
OTU_52570	0	0	0	1	1	0	0	0	0	3	0	3	0	0	0	4	0	0	2	0	0	1	0	0	20	3	6	6	0	5	3	3	5	4	0	2
OTU_52573	15	8	2	10	2	5	2	0	3	0	0	0	0	0	1	1	2	10	4	8	0	2	8	1	15	8	1	5	2	3	0	0	21	3	0	0
OTU_52576	2	0	0	0	2	1	0	0	1	0	0	0	0	0	1	0	0	0	5	1	0	0	14	0	0	0	1	0	0	0	0	0	3	0	0	0
OTU_52578	4	3	0	2	0	0	0	0	1	0	0	0	0	1	0	0	2	0	1	4	0	0	3	1	2	0	0	0	1	3	2	0	2	0	0	0
OTU_52580	0	0	1	0	0	1	0	4	1	6	0	2	1	0	1	0	1	0	0	0	0	1	0	0	29	4	0	3	0	4	3	0	1	1	0	2
OTU_52583	8	8	17	9	0	0	5	4	1	4	9	2	0	0	9	1	7	10	2	2	0	3	9	2	31	6	0	6	7	10	1	24	14	2	23	0
OTU_52590	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	4	5	1	2	0	1	2	2	1	2	0	2
OTU_52591	0	0	0	0	0	0	2	3	2	8	3	3	0	1	0	2	0	0	0	0	1	1	1	2	1	3	3	2	0	2	2	1	1	0	1	1
OTU_52593	2	2	1	2	0	0	0	0	0	0	0	0	0	2	0	0	1	0	2	29	0	0	0	2	8	0	0	1	0	0	1	0	2	2	0	0
OTU_52595	1	3	3	3	0	0	0	1	1	0	0	1	0	2	0	0	4	2	0	22	0	2	0	0	5	0	0	1	0	1	0	0	1	0	1	0
OTU_52599	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0
OTU_52600	1	0	1	0	0	0	3	1	1	0	6	1	4	0	2	0	0	0	4	0	7	12	1	1	6	2	5	2	6	0	1	0	7	1	0	0
OTU_52604	10	7	0	1	0	0	1	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	3	3	2	0	3	1	3	0	1	0	0	0
OTU_52607	1	0	1	6	1	0	0	0	3	1	0	2	1	3	0	0	2	0	1	2	3	3	0	0	7	0	1	3	0	11	4	0	4	1	0	2
OTU_52608	3	1	4	0	2	2	1	0	3	1	0	0	0	0	0	0	0	1	0	1	0	1	4	3	0	0	0	1	1	1	2	0	2	0	0	0
OTU_52609	0	0	0	2	0	0	0	0	0	1	2	1	3	11	1	1	0	0	1	0	0	2	0	2	0	0	0	5	0	2	0	1	0	0	2	0
OTU_52611	0	0	0	0	0	0	0	0	0	5	1	6	0	0	0	0	0	0	1	0	1	0	0	0	2	0	0	9	0	3	0	5	0	0	0	0
OTU_52613	0	0	0	0	0	0	1	0	0	2	0	2	0	0	0	0	0	0	0	0	1	1	0	0	2	1	1	2	1	0	0	1	0	0	0	4
OTU_52614	1	1	0	0	6	0	1	0	0	0	0	0	0	0	0	0	0	5	1	0	0	0	0	3	3	7	0	0	1	5	4	0	2	4	0	0
OTU_52616	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	3	10	0	0	1	0	0	3	0	0	0	0	1	0	0	1
OTU_52618	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0
OTU_52619	0	0	0	0	4	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	6	0	0	0	0	1	0	0	0	0
OTU_52622	85	94	69	113	65	33	32	5	49	48	11	60	100	130	29	48	75	621	20	98	97	329	72	37	364	103	17	54	15	114	31	4	40	23	129	246
OTU_52701	0	0	1	8	0	0	1	2	2	7	1	1	1	2	2	6	0	0	3	0	4	1	0	0	2	3	2	1	0	9	2	1	1	0	1	2
OTU_52704	0	0	0	0	2	0	18	1	0	0	0	1	5	0	0	0	8	0	5	0	2	0	0	0	0	0	0	0	5	0	0	0	0	0	1	3
OTU_52705	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	1	1	4	1	6	0	1	1	1	1	1	0	0	2	2	0	3	0	0	0	1
OTU_52709	0	0	0	8	3	1	0	0	0	0	2	0	1	1	1	6	0	0	2	0	0	0	3	0	3	0	3	0	1	3	1	1	1	0	0	0
OTU_52712	0	0	2	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	20	0	1	0	0	0	0	0	1	0	0	1	0	0	0
OTU_52713	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
OTU_52714	0	0	1	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
OTU_52715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0
OTU_52716	0	0	0	2	1	0	0	2	0	1	0	0	0	0	2	0	0	1	0	0	2	1	0	0	17	2	2	2	2	1	4	0	1	2	0	0
OTU_52717	4	0	3	3	9	1	2	0	2	0	0	1	3	0	0	1	1	5	8	5	0	9	3	0	2	0	1	0	1	0	1	0	3	0	3	0
OTU_52718	1	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	4	0	0	0	1	0	0	1	0	3	0	0	0	0	0	0
OTU_52719	1	3	0	0	0	1	4	2	1	3	0	1	0	1	0	1	6	0	0	1	0	0	0	4	1	6	7	4	1	4	3	0	0	0	1	0
OTU_52721	1	1	2	3	0	1	0	0	0	0	2	7	5	13	0	2	2	6	0	6	6	59	0	0	6	0	0	0	5	3	0	1	1	0	24	23
OTU_52727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_52728	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	1	0	1	0	0	0	4	0	0	0	0	0	0	0	2	0	0	0
OTU_52729	16	7	3	3	2	7	9	11	6	5	2	9	0	5	0	2	12	11	1	15	1	19	4	8	8	1	11	10	12	12	9	8	6	1	44	4
OTU_52732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OTU_52733	0	0	1	2	1	0	1	0	0	0	1	0	0	0	1	0	0	3	0	1	0	0	0	1	1	1	0	0	2	1	0	0	0	1	2	0
OTU_52739	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_52740	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	3	2	2	11	3	0	2	6	4	2	0	0
OTU_52744	0	0	0	0	1	0	0	0	1	3	0	0	0	0	0	0	4	16	0	4	0	0	6	0	5	4	0	1	0	3	1	0	2	0	0	0
OTU_52746	11	5	0	1	0	2	2	0	1	2	0	0	0	0	0	0	10	2	1	0	1	0	0	1	10	3	0	3	0	1	0	0	3	0	1	0
OTU_52750	0	0	0	0	0	0	3	0	0	0	0	17	3	6	0	0	0	0	0	0	20	81	0	0	0	1	0	0	7	0	0	0	0	0	24	26
OTU_52755	18	17	8	11	34	13	40	12	3	1	0	0	0	6	19	8	29	15	4	7	0	5	0	2	30	1	4	14	49	24	3	1	46	0	2	2
OTU_52795	0	1	0	1	0	0	0	1	0	0	0	0	0	0	2	0	2	0	0	0	0	0	1	0	1	0	2	2	1	2	3	1	0	0	0	0
OTU_52798	2	0	0	0	0	0	1	0	2	0	0	0	0	0	2	0	0	0	5	0	0	2	0	0	0	1	1	0	0	4	0	0	0	0	0	0
OTU_52799	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	14	0	0	0	0	0	1	0	0	0	0	0	0	0	2
OTU_52800	0	2	0	7	5	1	1	0	0	0	0	1	1	3	0	5	0	7	6	1	1	0	8	3	5	8	0	0	2	2	0	2	5	1	2	0
OTU_52801	1	1	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	6	1	0	1	0	2	0	0	2	1	4	0	1	1	0	1	1
OTU_52803	2	3	1	5	0	0	2	0	1	0	4	1	0	0	2	3	4	1	0	20	0	5	1	2	11	2	0	3	2	12	6	4	5	0	4	0
OTU_52807	2	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	1	1	0	0	0	0	1	6	0	0	3	0	9	6	0	0	0	0	0
OTU_52808	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	1	0	0	0	3	0	0	1	2	0	0	0	0	1	6
OTU_52809	3	0	1	0	2	2	0	0	7	7	0	0	0	0	7	2	4	28	7	7	0	0	30	3	0	25	2	0	0	0	1	3	6	1	0	0
OTU_52813	2	0	0	0	43	10	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	1	0	0	2	0	0	0	0	4	0	0	0
OTU_52814	0	0	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	5	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	6	0
OTU_52815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_52816	0	0	0	1	1	0	0	0	0	7	5	0	0	0	0	2	0	0	0	0	3	2	0	0	0	0	1	1	0	1	1	0	0	0	0	0
OTU_52819	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	3	2	5	2	0	3	6	2	0	0	0
OTU_52820	49	18	27	44	3	2	36	4	23	12	15	1	4	5	10	4	24	42	11	8	2	6	10	15	17	4	18	4	17	15	9	12	5	3	31	6
OTU_52821	0	0	0	0	0	0	3	0	0	0	0	9	0	6	0	0	0	0	0	0	5	133	0	1	0	0	0	0	0	0	0	0	0	0	7	6
OTU_52823	0	0	1	5	0	0	0	0	0	5	0	0	0	1	0	0	3	1	0	0	0	0	3	1	1	0	0	0	0	0	0	0	0	0	0	0
OTU_52825	2	0	3	3	21	39	2	0	0	1	0	0	0	0	0	0	0	52	9	2	0	0	32	3	3	9	0	3	1	0	0	1	19	0	0	0
OTU_52835	0	0	3	0	15	2	2	1	0	0	0	0	0	0	0	0	1	2	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0
OTU_52838	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	16	1	89	0	1	0	1	3	0	0	0	0	3	0	0	2	0	0	0
OTU_52839	0	0	0	1	1	0	0	0	1	0	0	0	2	0	0	1	0	0	5	0	0	0	0	1	0	0	0	1	0	2	1	1	0	0	0	0
OTU_52841	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_52842	3	0	0	3	0	0	0	0	2	1	0	4	0	0	0	1	2	0	0	0	0	4	0	2	0	3	0	1	0	0	2	0	0	1	0	0
OTU_52844	0	0	0	1	4	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	0	2	1	1	0	0	0
OTU_52845	0	0	0	0	0	0	0	0	0	3	0	4	0	0	0	0	0	0	0	0	0	1	0	0	10	4	0	9	2	3	0	6	4	2	1	9
OTU_52847	4	2	1	0	0	0	0	1	1	0	0	2	0	2	0	0	5	0	0	14	0	3	0	1	4	0	0	2	0	16	4	0	3	0	0	0
OTU_52851	0	0	0	0	1	0	0	0	0	5	0	0	0	0	1	0	0	0	0	0	0	6	0	0	1	0	0	5	0	1	0	0	0	0	0	0
