Delta.Compl1.49_S49	Delta.Compl1.67_S67	Delta.Compl3.51_S51	Delta.Compl3.69_S69	Delta.Compl4.52_S52	Delta.Compl4.70_S70	Delta.Compl5.53_S53	Delta.Compl5.71_S71	Delta1.43_S43	Delta1.61_S61	Delta2.44_S44	Delta2.62_S62	Delta3.45_S45	Delta3.63_S63	Delta5.47_S47	Delta5.65_S65	WT2.38_S38	WT2.56_S56	WT3.39_S39	WT3.57_S57	WT4.40_S40	WT4.58_S58	WT5.41_S41	WT5.59_S59	Delta.m11	DeltaCompl.m13	DeltaCompl.m15	DeltaCompl.m16	DeltaCompl.m17	WT.m2	WT.m3	WT.m4	WT.m5	Delta.m7	Delta.m8	Delta.m9
OTU_33186	1464	682	894	528	68	58	1	0	5	1	0	0	0	40	0	0	120	0	116	17	0	1	147	27	1626	96	0	568	0	63	9	0	1876	56	0	2
OTU_33412	1	0	3	5	7	9	25	9	9	7	3	26	16	32	11	13	26	155	15	84	12	72	54	20	10	23	5	1	8	25	11	3	2	20	34	50
OTU_33740	1	0	0	0	4	8	5	34	0	1	0	0	0	0	0	0	2	46	1	3	3	28	0	8	4	1	0	17	0	2	0	0	0	10	3	0
OTU_33750	16	4	16	63	137	1	49	30	97	100	163	110	62	91	57	58	6	20	95	4	90	150	33	30	176	207	316	137	99	164	144	218	112	118	172	268
OTU_33918	3	12	14	156	8	3	4	24	77	662	138	8	1	47	5	51	5	13	31	13	23	83	23	41	42	28	21	53	20	166	135	43	1	19	242	75
OTU_34025	18	6	10	33	54	1	25	22	15	238	46	98	44	75	18	15	10	6	40	1	56	87	25	12	297	177	136	288	62	131	130	146	170	201	86	322
OTU_34153	125	3	9	1	157	15	1	2	151	90	20	2	0	4	320	127	114	397	492	219	0	0	853	92	0	613	148	74	1	35	133	134	437	94	7	0
OTU_34361	19	8	137	72	908	1779	380	93	2	17	33	0	0	40	13	20	8	3064	134	55	1	9	541	85	53	305	3	32	396	492	18	405	400	35	19	0
OTU_34652	88	9	180	266	53	18	311	202	107	104	38	42	19	238	125	178	191	129	77	51	17	76	56	27	122	142	310	59	29	175	122	24	66	75	168	90
OTU_34794	1	0	0	0	0	0	209	86	0	1	0	990	516	722	0	0	0	0	0	0	1219	6941	1	1	1	0	3	3	573	1	2	0	0	0	1176	3844
OTU_35066	570	168	221	461	90	13	374	35	256	72	127	18	133	79	120	70	139	174	62	34	20	41	107	79	199	241	470	71	138	214	301	151	142	130	172	95
OTU_35242	35	15	3	5	170	20	0	0	25	9	38	51	56	34	134	216	14	51	71	15	17	88	17	14	11	175	1072	8	1	85	41	98	26	214	217	75
OTU_35326	61	47	74	349	421	45	119	164	19	50	115	283	125	112	34	46	66	21	164	19	97	96	11	35	977	348	167	192	168	129	149	234	75	355	78	330
OTU_35555	6	3	95	80	83	9	64	12	2	4	56	5	5	13	40	35	17	65	17	43	9	11	28	23	36	62	33	12	115	81	36	37	136	56	47	22
OTU_35824	195	86	172	195	98	117	225	41	21	25	183	67	105	111	115	112	247	121	23	291	9	73	82	55	449	178	100	55	578	109	103	936	312	62	570	371
OTU_36088	55	25	94	110	35	56	11	14	24	24	138	36	2	39	11	34	53	62	17	208	5	42	48	42	272	93	42	59	298	55	73	821	176	49	535	38
OTU_36235	9	16	14	25	13	3	44	62	9	369	0	2	17	43	2	6	0	8	12	4	5	12	15	13	28	26	5	90	83	128	38	2	10	142	0	26
OTU_36297	31	14	28	22	17	6	15	1	0	0	0	18	6	14	10	146	6	42	15	15	45	66	8	11	52	14	18	4	17	18	0	3	102	6	6	7
OTU_36353	3	0	3	0	55	0	0	0	4	92	4	2	26	0	0	0	3	0	48	0	7	51	14	1	44	38	1	169	7	34	25	22	46	35	0	47
